t, v, F
0.0, 2.9377899169921875, -171.85242625497742
0.000500000000000056, 3.0338008403778076, -182.66089644543158
0.001000000000000112, 3.144777536392212, -199.47346355031507
0.0015000000000001679, 3.26700758934021, -212.68373181690882
0.002000000000000224, 3.373044967651367, -230.09579160721552
0.0025000000000002867, 3.509598970413208, -239.70298391177388
0.0030000000000003427, 3.6495089530944824, -261.31916659703023
0.0035000000000003986, 3.80680513381958, -279.3337887115551
0.004000000000000455, 3.9502854347229004, -302.7507419681304
0.0045000000000005105, 4.107399940490723, -323.766654844218
0.005000000000000573, 4.285104274749756, -348.986651759068
0.0055000000000006224, 4.472752094268799, -358.59384406362636
0.006000000000000685, 4.617205619812012, -392.82004463440137
0.006500000000000734, 4.799149036407471, -422.2418719291516
0.007000000000000797, 4.983973979949951, -454.6665053767685
0.007500000000000846, 5.156842231750488, -495.49627611930237
0.00800000000000091, 5.299908638000488, -535.7257964807612
0.008500000000000965, 5.485713958740234, -578.9573847275283
0.009000000000001021, 5.665553569793701, -622.7899616229289
0.009500000000001077, 5.837397575378418, -663.6213254691412
0.010000000000001133, 5.992677688598633, -714.6600154324251
0.010500000000001196, 6.165117263793945, -775.9070029174627
0.011000000000001252, 6.327521324157715, -834.1511842496336
0.011500000000001308, 6.431800842285156, -903.8040861533339
0.012000000000001364, 6.574587345123291, -968.6541301723131
0.01250000000000142, 6.698811054229736, -1032.9031466864717
0.013000000000001476, 6.8273091316223145, -1094.1493570477637
0.013500000000001539, 6.89885950088501, -1171.0060406481107
0.014000000000001588, 7.007741451263428, -1238.85741428484
0.01450000000000165, 7.0218424797058105, -1369.027973038364
0.0150000000000017, 7.089228630065918, -1430.1301046572282
0.015500000000001762, 7.168101787567139, -1491.7791759682216
0.01600000000000182, 7.330646514892578, -1514.7256196530439
0.016500000000001874, 7.448057174682617, -1537.0721238062895
0.01700000000000193, 7.540180206298828, -1558.517630688926
0.017500000000001986, 7.669181823730469, -1578.4623561941255
0.018000000000002042, 7.786943435668945, -1598.4072371240743
0.018500000000002105, 7.897808074951172, -1617.4512762081629
0.01900000000000216, 7.978064060211182, -1635.744613754035
0.019500000000002217, 8.082175254821777, -1651.6353955281156
0.020000000000002273, 8.19327449798584, -1666.9263931953683
0.02050000000000233, 8.281902313232422, -1678.6143343286794
0.021000000000002385, 8.370955467224121, -1690.0026165457002
0.02150000000000244, 8.485146522521973, -1698.088122844066
0.022000000000002504, 8.580229759216309, -1704.5225520326026
0.022500000000002553, 8.649811744689941, -1710.2064351076715
0.023000000000002616, 8.756179809570312, -1715.8901627579914
0.023500000000002665, 8.861079216003418, -1716.1399303298163
0.024000000000002727, 8.970829963684082, -1713.699140069743
0.024500000000002783, 9.06479263305664, -1708.7064308539802
0.02500000000000284, 9.178766250610352, -1704.0141576782532
0.025500000000002895, 9.288198471069336, -1696.7701209715863
0.02600000000000295, 9.380210876464844, -1690.2766303783867
0.02650000000000302, 9.462937355041504, -1685.283765737875
0.02700000000000307, 9.569470405578613, -1678.640134837032
0.027500000000003126, 9.659818649291992, -1672.5969097420136
0.028000000000003182, 9.735265731811523, -1666.2532486069592
0.028500000000003238, 9.797171592712402, -1660.8101184682664
0.029000000000003294, 9.891654014587402, -1654.0161918350311
0.02950000000000335, 9.955512046813965, -1650.0750864717684
0.03000000000000342, 10.004250526428223, -1645.9827528276182
0.030500000000003462, 10.06324577331543, -1644.7433958781899
0.031000000000003518, 10.100443840026855, -1642.3027610428655
0.031500000000003574, 10.162625312805176, -1642.4140451632306
0.032000000000003644, 10.18630599975586, -1643.725985470495
0.032500000000003686, 10.242218017578125, -1646.0887525065134
0.03300000000000374, 10.261337280273438, -1648.4519858167794
0.03350000000000381, 10.265467643737793, -1652.0158753139447
0.03400000000000387, 10.289819717407227, -1655.729905118753
0.03450000000000392, 10.317361831665039, -1660.7951976923516
0.03500000000000398, 10.329574584960938, -1665.860334841201
0.035500000000004035, 10.347920417785645, -1670.9248502910539
0.03600000000000409, 10.36264705657959, -1674.9390052864
0.03650000000000415, 10.3993501663208, -1677.1517874395245
0.0370000000000042, 10.428767204284668, -1681.6160525083021
0.03750000000000426, 10.410840034484863, -1684.8799722396789
0.038000000000004315, 10.44149398803711, -1689.1944078503118
0.038500000000004385, 10.476369857788086, -1691.2568942710436
0.03900000000000443, 10.491357803344727, -1694.3703628452788
0.03950000000000448, 10.511454582214355, -1697.4836759947648
0.04000000000000455, 10.542242050170898, -1699.546473264995
0.04050000000000461, 10.570695877075195, -1699.6574465358617
0.041000000000004665, 10.605358123779297, -1701.8702286889861
0.04150000000000471, 10.627298355102539, -1701.5314027359193
0.04200000000000478, 10.662300109863281, -1704.9449965006922
0.04250000000000483, 10.690284729003906, -1706.1074181993097
0.04300000000000489, 10.711710929870605, -1707.5696542389665
0.043500000000004944, 10.782061576843262, -1707.6810937840805
0.044000000000005, 10.793952941894531, -1707.942518212089
0.044500000000005056, 10.812267303466797, -1710.1553003652132
0.045000000000005126, 10.819503784179688, -1712.9686437489108
0.04550000000000517, 10.830401420593262, -1716.0827340221426
0.046000000000005224, 10.856416702270508, -1719.3460320545228
0.04650000000000528, 10.862115859985352, -1723.9607482804422
0.04700000000000535, 10.859898567199707, -1727.6749335099998
0.04750000000000539, 10.876623153686523, -1732.439012919817
0.04800000000000545, 10.887142181396484, -1735.1020605711224
0.04850000000000552, 10.87342643737793, -1739.7164659475434
0.049000000000005574, 10.876056671142578, -1744.3311821734628
0.04950000000000563, 10.866043090820312, -1748.4954774764522
0.05000000000000567, 10.84776782989502, -1754.161020431126
