t, v, f
0.0, 0.8950053963690152, -149.39025277271867
0.0002500000118743628, 0.935321021343043, -149.39025277271867
0.0005000000237487257, 1.0447490550268412, -138.4060364216566
0.0007500000356230885, 1.1311396426663125, -149.39046814106405
0.0010000000474974513, 1.2693647000469355, -83.48409319296479
0.0012500000593718141, 1.4018302918157133, -50.531013403087854
0.001500000071246177, 1.4709428284459136, -116.43717298284172
0.0017500000831205398, 1.5976491548644847, -127.42138933390379
0.0020000000949949026, 1.7473929052721362, -83.48387782461943
0.0022500001068692654, 1.891377240353904, -94.46830954402685
0.0025000001187436283, 2.029602205984702, -105.4527412634343
0.002750000130617991, 2.23118027174678, -83.48409319296479
0.003000000142492354, 2.4442772016845993, -61.51522975414991
0.0032500001543667167, 2.6688928228850273, -17.577718244865537
0.0035000001662410796, 2.876230370138728, -39.546366315335035
0.0037500001781154424, 3.118124013235501, -72.49966147355735
0.004000000189989805, 3.325461546373844, -138.40582105331123
0.004250000201864168, 3.6076709741246304, -116.43695761449635
0.004500000213738531, 3.9301959809745313, -105.45252589508893
0.004750000225612894, 4.258480343160045, -105.45252589508893
0.0050000002374872565, 4.667395870601467, -50.530798034742475
0.005250000249361619, 5.064792705015861, -50.530798034742475
0.005500000261235982, 5.427633294493717, -94.46830954402685
0.005750000273110345, 5.836548927800322, -83.48387782461943
0.006000000284984708, 6.222427005668578, -94.46830954402685
0.006250000296859071, 6.677417682803934, -72.49944610521197
0.0065000003087334335, 7.178483287316339, -39.546366315335035
0.006750000320607796, 7.731383195714444, 26.359793264418837
0.007000000332482159, 8.232448690832825, -6.593501893803477
0.007250000344356522, 8.768070487349178, 15.375146176666021
0.007500000356230885, 9.315211142748012, 37.3440096154809
0.007750000368105248, 9.856592351061408, 37.3440096154809
0.00800000037997961, 10.415251688900753, -6.593501893803477
0.008250000391853973, 10.985429843276506, -28.562149964272972
0.008500000403728336, 11.561367240065008, -17.577933613210917
0.008750000415602699, 12.16610158997355, -6.593501893803477
0.009000000427477062, 12.788113984715892, 15.375146176666021
0.009250000439351425, 13.381329525145702, -39.5467970520258
0.009500000451225787, 13.951507559540914, -94.46874028071763
0.00975000046310015, 14.550482589402236, -105.45295663177968
0.010000000474974513, 15.166735734674146, -83.48409319296479
0.010250000486848876, 15.754191997402812, -61.51522975414991
0.010500000498723239, 16.335888855392113, -94.46830954402685
0.010750000510597602, 16.894548263808247, -127.42138933390379
0.011000000522471964, 17.4589669922716, -138.40582105331123
0.011250000534346327, 17.971551219234243, -215.29662772081792
0.01150000054622069, 18.484135502658315, -237.26549115963283
0.011750000558095053, 18.95640420698328, -292.1874343883246
0.012000000569969416, 19.41139492293587, -358.09359396807844
0.012250000581843778, 19.849107424670365, -391.04667375795543
0.012500000593718141, 20.25226358266082, -500.89056021533906
0.012750000605592504, 20.62086365098367, -555.8122880756855
0.013000000617466867, 20.931869869527873, -610.7342313043773
0.01325000062934123, 21.242876031610646, -676.6406062524766
0.013500000641215593, 21.553882334847, -731.562334112823
0.013750000653089955, 21.732422978384417, -852.3904369212687
0.014000000664964318, 21.928241807909217, -907.3121647816151
0.014250000676838681, 22.054947978176642, -1006.1716195195914
0.014500000688713044, 22.118301119771786, -1126.999722328037
0.014750000700587407, 22.204691710940093, -1214.8747453466058
0.01500000071246177, 22.198932221508585, -1368.6561433132738
0.015250000724336132, 22.158616614178758, -1544.4061893504115
0.015500000736210495, 22.15285726590082, -1621.2967806495726
0.015750000748084858, 22.0491884322837, -1753.1093151774257
0.01600000075995922, 21.945519711589437, -1895.9060660563407
0.016250000771833584, 21.836091642617248, -2016.7341688647866
0.016500000783707947, 21.674829100375064, -2181.4997831825167
0.01675000079558231, 21.496288513299078, -2302.3278859909624
0.017000000807456672, 21.335025971056893, -2390.202909009531
0.017250000819331035, 21.139207282685675, -2532.9996598884463
0.017500000831205398, 20.943388650775884, -2631.8588992580776
0.01775000084307976, 20.7418105576653, -2763.6714337859303
0.018000000854954123, 20.563269970589317, -2862.530673155561
0.018250000866828486, 20.332895079627633, -2961.3899125251914
0.01850000087870285, 20.05644500721246, -3071.2337989825755
0.018750000890577212, 19.866385610657744, -3159.1088220011443
0.019000000902451575, 19.6302511455724, -3312.8902199678123
0.019250000914325938, 19.445951266679913, -3411.7494593374427
0.0195000009262003, 19.278929376159795, -3477.6558342855424
0.019750000938074663, 19.054313720553182, -3631.4372322522104
0.020000000949949026, 18.887291942955923, -3741.2809033412486
0.02025000096182339, 18.8009013235569, -3774.233983131126
0.020500000973697752, 18.62812014122028, -3928.015165729448
0.020750000985572115, 18.547488926560618, -4004.9057570286095
0.021000000997446477, 18.44382020586636, -4081.7963483277704
0.02125000100932084, 18.322873327415437, -4202.6244511362165
0.021500001021195203, 18.294076586025767, -4224.593099206686
0.021750001033069566, 18.253760922234505, -4268.53061071597
0.02200000104494393, 18.213445258443244, -4323.452553944662
0.02225000105681829, 18.17312953819055, -4400.343360612169
0.022500001068692654, 18.161610728711818, -4455.265303840861
0.022750001080567017, 18.12129506492056, -4543.1403268594295
0.02300000109244138, 18.092498154146597, -4652.984213316813
0.023250001104315743, 18.127054356737062, -4718.890588264912
0.023500001116190106, 18.17888871708419, -4806.765611283481
0.02375000112806447, 18.259519931743853, -4817.750043002889
0.02400000113993883, 18.322873101569712, -4850.703122792765
0.024250001151813194, 18.38622621493414, -4861.687554512173
0.024500001163687557, 18.44957938476, -4872.671770863234
0.02475000117556192, 18.553248161915693, -4828.734259353951
0.025000001187436283, 18.58204501622822, -4828.734259353951
